351	0.9871794871794872
352	0.9871794871794872
353	0.9871794871794872
354	0.9871794871794872
355	1.0
356	0.9871794871794872
357	0.9743589743589743
358	0.9871794871794872
359	1.0
360	0.9871794871794872
361	1.0
362	0.9871794871794872
363	0.9615384615384616
364	1.0
365	1.0
366	0.9871794871794872
367	0.9871794871794872
368	1.0
369	1.0
370	1.0
371	1.0
372	1.0
373	1.0
374	1.0
375	0.9743589743589743
376	0.9743589743589743
377	1.0
378	1.0
379	1.0
380	1.0
381	0.9871794871794872
382	1.0
383	1.0
384	1.0
385	1.0
386	1.0
387	1.0
388	0.9743589743589743
389	0.9743589743589743
390	0.9871794871794872
391	0.9871794871794872
392	0.9871794871794872
393	0.9743589743589743
394	1.0
395	1.0
396	1.0
397	0.9871794871794872
398	0.9871794871794872
399	0.9871794871794872
400	1.0
401	1.0
402	1.0
403	0.9871794871794872
404	1.0
405	1.0
406	1.0
407	1.0
408	1.0
409	0.9871794871794872
410	0.9871794871794872
411	0.9871794871794872
412	0.9615384615384616
413	0.9615384615384616
414	0.9871794871794872
415	0.9743589743589743
416	0.9615384615384616
417	0.9871794871794872
418	0.9871794871794872
419	1.0
420	1.0
421	1.0
422	1.0
423	1.0
424	1.0
425	1.0
426	1.0
427	0.9871794871794872
428	0.9871794871794872
429	0.9871794871794872
430	1.0
431	0.9871794871794872
432	0.9871794871794872
433	1.0
434	1.0
435	1.0
436	1.0
437	1.0
438	0.9871794871794872
439	0.9615384615384616
440	0.9743589743589743
441	1.0
442	1.0
443	0.9871794871794872
444	0.9743589743589743
445	1.0
446	0.9871794871794872
447	1.0
448	1.0
449	1.0
450	1.0
451	1.0
452	1.0
453	0.9871794871794872
454	1.0
455	1.0
456	1.0
457	1.0
458	1.0
459	0.9871794871794872
460	0.9743589743589743
461	0.9871794871794872
462	1.0
463	1.0
464	1.0
465	0.9871794871794872
466	0.9743589743589743
467	0.9871794871794872
468	1.0
469	1.0
470	1.0
471	1.0
472	1.0
473	1.0
474	0.9871794871794872
475	0.9871794871794872
476	0.9871794871794872
477	0.9743589743589743
478	0.9871794871794872
479	1.0
480	1.0
481	0.9871794871794872
482	0.9871794871794872
483	0.9871794871794872
484	0.9743589743589743
485	1.0
486	1.0
487	1.0
488	0.9871794871794872
489	0.9871794871794872
490	0.9871794871794872
491	0.9871794871794872
492	1.0
493	1.0
494	1.0
495	1.0
496	0.9871794871794872
497	0.9871794871794872
498	0.9871794871794872
499	0.9871794871794872
500	0.9871794871794872
501	0.9743589743589743
502	0.9871794871794872
503	1.0
504	0.9871794871794872
505	0.9871794871794872
506	1.0
507	1.0
508	1.0
509	0.9871794871794872
510	0.9871794871794872
511	1.0
512	1.0
513	1.0
514	0.9871794871794872
515	0.9871794871794872
516	1.0
517	1.0
518	1.0
519	1.0
520	1.0
521	1.0
522	0.9871794871794872
523	0.9743589743589743
524	1.0
525	1.0
526	1.0
527	1.0
528	1.0
529	1.0
530	1.0
531	1.0
532	0.9871794871794872
533	0.9743589743589743
534	0.9871794871794872
535	0.9871794871794872
536	1.0
537	1.0
538	1.0
539	1.0
540	0.9871794871794872
541	1.0
542	1.0
543	1.0
544	1.0
545	1.0
546	1.0
547	0.9871794871794872
548	1.0
549	1.0
550	1.0
551	1.0
552	1.0
553	1.0
554	1.0
555	1.0
556	0.9871794871794872
557	1.0
558	1.0
559	1.0
560	1.0
561	1.0
562	0.9871794871794872
563	1.0
564	1.0
565	1.0
566	1.0
567	1.0
568	1.0
569	1.0
570	1.0
571	1.0
572	0.9871794871794872
573	0.9871794871794872
574	1.0
575	1.0
576	1.0
577	1.0
578	1.0
579	1.0
580	1.0
581	1.0
582	1.0
583	1.0
584	1.0
585	1.0
586	1.0
587	1.0
588	1.0
589	1.0
590	0.9871794871794872
591	1.0
592	1.0
593	1.0
594	0.9871794871794872
595	1.0
596	1.0
597	1.0
598	1.0
599	1.0
600	0.9871794871794872
601	0.9871794871794872
602	0.9871794871794872
603	0.9871794871794872
604	1.0
605	1.0
606	1.0
607	1.0
608	1.0
609	1.0
610	1.0
611	1.0
612	1.0
613	1.0
614	1.0
615	1.0
616	1.0
617	1.0
618	1.0
619	1.0
620	1.0
621	1.0
622	1.0
623	1.0
624	1.0
625	1.0
626	1.0
627	1.0
628	1.0
629	1.0
630	1.0
631	1.0
632	1.0
633	1.0
634	1.0
635	1.0
636	1.0
637	1.0
638	1.0
639	0.9871794871794872
640	1.0
641	1.0
642	1.0
643	0.9871794871794872
644	1.0
645	1.0
646	1.0
647	1.0
648	0.9743589743589743
649	0.9743589743589743
650	0.9743589743589743
651	0.9871794871794872
652	1.0
653	1.0
654	0.9871794871794872
655	1.0
656	1.0
657	1.0
658	1.0
659	1.0
660	1.0
661	1.0
662	1.0
663	1.0
664	1.0
665	1.0
666	1.0
667	1.0
668	1.0
669	1.0
670	1.0
671	1.0
672	1.0
673	1.0
674	1.0
675	1.0
676	1.0
677	1.0
678	1.0
679	1.0
680	1.0
681	1.0
682	1.0
683	1.0
684	1.0
685	1.0
686	1.0
687	0.9871794871794872
688	1.0
689	1.0
690	0.9871794871794872
691	1.0
692	1.0
693	1.0
694	0.9871794871794872
695	1.0
696	1.0
697	1.0
698	1.0
699	1.0
700	1.0
701	1.0
702	1.0
703	1.0
704	1.0
705	1.0
706	1.0
707	1.0
708	1.0
709	1.0
710	1.0
711	1.0
712	1.0
713	1.0
714	0.9871794871794872
715	1.0
716	1.0
717	1.0
718	1.0
719	1.0
720	1.0
721	1.0
722	1.0
723	1.0
724	1.0
725	0.9871794871794872
726	0.9871794871794872
727	1.0
728	1.0
729	1.0
730	1.0
731	1.0
732	1.0
733	1.0
734	1.0
735	1.0
736	1.0
737	1.0
738	1.0
739	1.0
740	1.0
741	1.0
742	1.0
743	1.0
744	1.0
745	1.0
746	1.0
747	0.9871794871794872
748	1.0
749	1.0
750	1.0
751	1.0
752	1.0
753	1.0
754	1.0
755	1.0
756	1.0
757	1.0
758	1.0
759	1.0
760	1.0
761	1.0
762	1.0
763	1.0
764	1.0
765	1.0
766	1.0
767	1.0
768	1.0
769	1.0
770	0.9871794871794872
771	0.9871794871794872
772	0.9871794871794872
773	1.0
774	1.0
775	1.0
776	1.0
777	1.0
778	0.9871794871794872
779	1.0
780	1.0
781	1.0
782	1.0
783	1.0
784	1.0
785	1.0
786	1.0
787	1.0
788	1.0
789	1.0
790	1.0
791	1.0
792	1.0
793	1.0
794	0.9871794871794872
795	1.0
796	1.0
797	1.0
798	1.0
799	1.0
800	1.0
801	0.9871794871794872
802	0.9871794871794872
803	0.9871794871794872
804	1.0
805	1.0
806	1.0
807	0.9871794871794872
808	1.0
809	1.0
810	1.0
811	1.0
812	1.0
813	1.0
814	0.9871794871794872
815	1.0
816	1.0
817	0.9871794871794872
818	1.0
819	1.0
820	1.0
821	1.0
822	1.0
823	1.0
824	1.0
825	1.0
826	1.0
827	1.0
828	1.0
829	1.0
830	1.0
831	1.0
832	1.0
833	1.0
834	1.0
835	1.0
836	1.0
837	1.0
838	1.0
839	1.0
840	1.0
841	0.9615384615384616
842	0.9871794871794872
843	1.0
844	1.0
845	1.0
846	1.0
847	0.9871794871794872
848	0.9743589743589743
849	0.9871794871794872
850	1.0
851	1.0
852	1.0
853	1.0
854	1.0
855	1.0
856	1.0
857	1.0
858	0.9871794871794872
859	0.9871794871794872
860	0.9871794871794872
861	1.0
862	1.0
863	1.0
864	1.0
865	1.0
866	1.0
867	1.0
868	0.9871794871794872
869	1.0
870	1.0
871	1.0
872	1.0
873	1.0
874	1.0
875	1.0
876	1.0
877	1.0
878	1.0
879	1.0
880	1.0
881	1.0
882	1.0
883	1.0
884	1.0
885	1.0
886	0.9871794871794872
887	1.0
888	1.0
889	1.0
890	1.0
891	1.0
892	1.0
893	1.0
894	1.0
895	1.0
896	1.0
897	1.0
898	1.0
899	1.0
900	1.0
901	1.0
902	1.0
903	1.0
904	1.0
905	1.0
906	1.0
907	1.0
908	0.9871794871794872
909	1.0
910	1.0
911	1.0
912	1.0
913	1.0
914	1.0
915	1.0
916	1.0
917	1.0
918	1.0
919	1.0
920	1.0
921	1.0
922	1.0
923	1.0
924	1.0
925	0.9871794871794872
926	1.0
927	1.0
928	1.0
929	1.0
930	1.0
931	1.0
932	1.0
933	1.0
934	1.0
935	1.0
936	1.0
937	1.0
938	0.9871794871794872
939	1.0
940	1.0
941	1.0
942	1.0
943	1.0
944	1.0
945	0.9871794871794872
946	0.9871794871794872
947	0.9871794871794872
948	1.0
949	1.0
950	1.0
951	1.0
952	1.0
953	1.0
954	1.0
955	1.0
956	1.0
957	0.9743589743589743
958	0.9743589743589743
959	0.9743589743589743
960	0.9871794871794872
961	1.0
962	1.0
963	0.9871794871794872
964	0.9871794871794872
965	0.9871794871794872
966	1.0
967	1.0
968	1.0
969	1.0
970	0.9871794871794872
971	0.9871794871794872
972	0.9871794871794872
973	1.0
974	1.0
975	1.0
976	1.0
977	0.9871794871794872
978	1.0
979	1.0
980	0.9871794871794872
981	1.0
982	1.0
983	1.0
984	1.0
985	1.0
986	1.0
987	1.0
988	1.0
989	0.9871794871794872
990	1.0
991	1.0
992	1.0
993	1.0
994	1.0
995	1.0
996	1.0
997	1.0
998	0.9871794871794872
999	1.0
1000	1.0
